x,y,y (p = 1),error (p = 1),y (p = 2),error (p = 2),y (p = 3),error (p = 3),y (p = 4),error (p = 4)
0.0000000000,5.0000000000,5.0000000000,0.0000000000,5.0000000000,0.0000000000,5.0000000000,0.0000000000,5.0000000000,0.0000000000
0.0500000000,5.4156497372,5.7250000000,0.3093502628,5.4188125000,0.0031627628,5.4125311458,-0.0031185914,5.4156536199,0.0000038827
0.1000000000,5.2244360176,5.8376250000,0.6131889824,5.2062967195,-0.0181392981,5.2186350493,-0.0058009683,5.2245899508,0.0001539332
0.1500000000,4.4957321805,5.3001868750,0.8044546945,4.4368192050,-0.0589129754,4.4886992639,-0.0070329166,4.4961482180,0.0004160375
0.2000000000,3.3574207943,4.1499368781,0.7925160838,3.2481895297,-0.1092312647,3.3513122422,-0.0061085521,3.3581481780,0.0007273837
0.2500000000,1.9777281338,2.5001203125,0.5223921787,1.8215355153,-0.1561926185,1.9749493909,-0.0027787429,1.9787365140,0.0010083802
0.3000000000,0.5428567231,0.5318680059,-0.0109887172,0.3564038045,-0.1864529186,0.5455383950,0.0026816719,0.5440345366,0.0011778135
0.3500000000,-0.7667395128,-1.5229371488,-0.7561976360,-0.9556352032,-0.1888956904,-0.7572395840,0.0094999288,-0.7655708016,0.0011687111
0.4000000000,-1.7984940908,-3.4065608179,-1.6080667271,-1.9554745238,-0.1569804331,-1.7819723782,0.0165217125,-1.7975518463,0.0009422445
0.4500000000,-2.4455988864,-4.8657468650,-2.4201479786,-2.5359552725,-0.0903563860,-2.4231985718,0.0224003146,-2.4451016030,0.0004972835
0.5000000000,-2.6585093463,-5.6842332620,-3.0257239157,-2.6539519466,0.0045573997,-2.6326803055,0.0258290408,-2.6586354758,-0.0001261295
0.5500000000,-2.4488166781,-5.7136125400,-3.2647958619,-2.3336544697,0.1151622084,-2.4230369001,0.0257797780,-2.4496668664,-0.0008501883
0.6000000000,-1.8851912445,-4.8985079621,-3.0133167175,-1.6608018385,0.2243894061,-1.8634825553,0.0217086893,-1.8867605912,-0.0015693466
0.6500000000,-1.0820930133,-3.2923285725,-2.2102355592,-0.7687970372,0.3132959761,-1.0683989640,0.0136940494,-1.0842586480,-0.0021656346
0.7000000000,-0.1828347801,-1.0606527959,-0.8778180157,0.1813261820,0.3641609621,-0.1803540532,0.0024807270,-0.1853618545,-0.0025270743
0.7500000000,0.6607358735,1.5294724437,0.8687365701,1.0243386448,0.3636027712,0.6501553301,-0.0105805435,0.6581694398,-0.0025664338
0.8000000000,1.3092802148,4.1344462155,2.8251660007,1.6144939939,0.3052137790,1.2855850714,-0.0236951434,1.3070428168,-0.0022373980
0.8500000000,1.6550271281,6.3715987241,4.7165715960,1.8462893111,0.1912621829,1.6201589845,-0.0348681436,1.6534816216,-0.0015455065
0.9000000000,1.6364195903,7.8658429741,6.2294233838,1.6695551532,0.0331355629,1.5942230482,-0.0421965421,1.6358677078,-0.0005518825
0.9500000000,1.2465037238,8.3005584473,7.0540547236,1.0968831763,-0.1496205475,1.2023353035,-0.0441684203,1.2471349483,0.0006312245
1.0000000000,0.5340220224,7.4666883974,6.9326663751,0.2024143326,-0.3316076898,0.4940977067,-0.0399243157,0.5358749141,0.0018528917
1.0500000000,-0.4028981572,5.3035795463,5.7064777035,-0.8878525817,-0.4849544245,-0.4323377672,-0.0294396100,-0.3999555712,0.0029425859
1.1000000000,-1.4296332713,1.9253983371,3.3550316085,-2.0129599728,-0.5833267015,-1.4432296540,-0.0135963827,-1.4258998494,0.0037334220
1.1500000000,-2.3928740957,-2.3719309935,0.0209431022,-2.9988809125,-0.6060068168,-2.3870018753,0.0058722204,-2.3887876226,0.0040864731
1.2000000000,-3.1410850941,-7.1264512450,-3.9853661510,-3.6825245535,-0.5414394594,-3.1145206566,0.0265644374,-3.1371724033,0.0039126908
1.2500000000,-3.5450071355,-11.7492618623,-8.2042547267,-3.9346970920,-0.3896899564,-3.4993068710,0.0457002645,-3.5418179685,0.0031891671
1.3000000000,-3.5155900788,-15.5848180540,-12.0692279752,-3.6789792074,-0.1633891286,-3.4551054957,0.0604845831,-3.5136229605,0.0019671183
1.3500000000,-3.0170578721,-17.9873646741,-14.9703068021,-2.9039934948,0.1130643773,-2.9485619748,0.0684958972,-3.0166878582,0.0003700138
1.4000000000,-2.0734089143,-18.4058035940,-16.3323946797,-1.6673735336,0.4060353807,-2.0053612150,0.0680476993,-2.0748273388,-0.0014184245
1.4500000000,-0.7674638767,-16.4673193951,-15.6998555184,-0.0908029823,0.6766608944,-0.7089930885,0.0584707882,-0.7706391073,-0.0031752306
1.5000000000,0.7675077953,-12.0490871344,-12.8165949297,1.6533659620,0.8858581667,0.8077811877,0.0402733925,0.7628420024,-0.0046657928
1.5500000000,2.3626355539,-5.3275944280,-7.6902299819,3.3623251168,0.9996895629,2.3777863101,0.0151507562,2.3569609416,-0.0056746123
1.6000000000,3.8330214090,3.2033572393,-0.6296641697,4.8273815850,0.9943601760,3.8188565351,-0.0141648739,3.8269862019,-0.0060352072
1.6500000000,4.9997025652,12.7520858829,7.7523833177,5.8598421825,0.8601396173,4.9555009072,-0.0442016580,4.9940474773,-0.0056550878
1.7000000000,5.7113605990,22.2880999107,16.5767393117,6.3149742187,0.6036136197,5.6402002665,-0.0711603325,5.7068283815,-0.0045322175
1.7500000000,5.8631492608,30.6383643359,24.7752150751,6.1110210124,0.2478717516,5.7717575627,-0.0913916981,5.8603888947,-0.0027603661
1.8000000000,5.4103451433,36.6134283790,31.2030832356,5.2408454117,-0.1694997316,5.3084659613,-0.1018791820,5.4098230050,-0.0005221383
1.8500000000,4.3751346174,39.1515159969,34.7763813795,3.7746748329,-0.6004597844,4.2744715372,-0.1006630801,4.3770645685,0.0019299511
1.9000000000,2.8456627016,37.4650433525,34.6193806509,1.8535144315,-0.9921482701,2.7585144513,-0.0871482503,2.8499650912,0.0043023896
1.9500000000,0.9673869187,31.1718717455,30.2044848268,-0.3260554344,-1.2934423530,0.9051368359,-0.0622500828,0.9736831252,0.0062962065
2.0000000000,-1.0723085045,20.3933680509,21.4656765554,-2.5339184759,-1.4616099714,-1.1006615419,-0.0283530374,-1.0646637173,0.0076447872
2.0500000000,-3.0644845604,5.8032790274,8.8677635878,-4.5326754402,-1.4681908798,-3.0535640896,0.0109204708,-3.0563354111,0.0081491493
2.1000000000,-4.8016627682,-11.3844545094,-6.5827917412,-6.1049667718,-1.3033040036,-4.7505542713,0.0511084969,-4.7939567373,0.0077060309
2.1500000000,-6.1008302153,-29.4947643611,-23.3939341457,-7.0785869865,-0.9777567712,-6.0133996823,0.0874305330,-6.0945053077,0.0063249076
2.2000000000,-6.8237837665,-46.5357536180,-39.7119698514,-7.3463812681,-0.5225975016,-6.7084148365,0.1153689300,-6.8196524079,0.0041313587
2.2500000000,-6.8924779870,-60.3984427463,-53.5059647592,-6.8785512830,0.0139267040,-6.7612390951,0.1312388919,-6.8911221109,0.0013558761
2.3000000000,-6.2976293382,-69.0942940888,-62.7966647505,-5.7259216935,0.5717076447,-6.1649549881,0.1326743501,-6.2993202846,-0.0016909464
2.3500000000,-5.0996188283,-71.0062043527,-65.9065855244,-4.0138160946,1.0858027338,-4.9806532731,0.1189655552,-5.1042729647,-0.0046541363
2.4000000000,-3.4216318133,-65.1242091830,-61.7025773697,-1.9273251149,1.4943066983,-3.3304305884,0.0912012249,-3.4288086030,-0.0071767898
2.4500000000,-1.4358704420,-51.2356877093,-49.7998172673,0.3102194695,1.7460899115,-1.3836788551,0.0521915870,-1.4448145222,-0.0089440802
2.5000000000,0.6555343839,-30.0419065301,-30.6974409139,2.4629485622,1.8074141783,0.6617101692,0.0061757854,0.6458110609,-0.0097233230
2.5500000000,2.6426909016,-3.1784511546,-5.8211420562,4.3092449231,1.6665540215,2.6010353909,-0.0416555107,2.6332959607,-0.0093949409
2.6000000000,4.3306452859,26.8738217428,22.5431764569,5.6664299420,1.3357846561,4.2448779370,-0.0857673488,4.3226750893,-0.0079701966
2.6500000000,5.5600352134,56.9889397631,51.4289045497,6.4104545299,0.8504193166,5.4390902630,-0.1209449503,5.5544420858,-0.0055931275
2.7000000000,6.2233955327,83.6954448970,77.4720493643,6.4883441998,0.2649486671,6.0804616668,-0.1429338659,6.2208694798,-0.0025260529
2.7500000000,6.2753514849,103.5505231089,97.2751716239,5.9220582119,-0.3532932730,6.1263759138,-0.1489755712,6.2762314059,0.0008799209
2.8000000000,5.7356706662,113.5518504658,107.8161797997,4.8034835912,-0.9321870749,5.5975009954,-0.1381696708,5.7398967122,0.0042260461
2.8500000000,4.6849887720,111.5417093596,106.8567205876,3.2813642335,-1.4036245385,4.5733745307,-0.1116142413,4.6921026130,0.0071138410
2.9000000000,3.2538749510,96.5538161621,93.2999412111,1.5419297566,-1.7119451944,3.1815722363,-0.0723027146,3.2630688698,0.0091939188
2.9500000000,1.6066597743,69.0547507138,67.4480909395,-0.2142794446,-1.8209392189,1.5818739669,-0.0247858074,1.6168694325,0.0102096583
3.0000000000,-0.0779755594,31.0393331959,31.1173087553,-1.7964826452,-1.7185070858,-0.0526121377,0.0253634217,-0.0679453877,0.0100301717
3.0500000000,-1.6273211506,-14.0474828295,-12.4201616789,-3.0456710399,-1.4183498893,-1.5551031460,0.0722180046,-1.6186528919,0.0086682587
3.1000000000,-2.8934960477,-61.5716093985,-58.6781133508,-3.8519293202,-0.9584332725,-2.7832781896,0.1102178581,-2.8872152051,0.0062808427
3.1500000000,-3.7687002116,-106.1419626156,-102.3732624041,-4.1650763964,-0.3963761849,-3.6338462322,0.1348539794,-3.7655486726,0.0031515390
3.2000000000,-4.1952020392,-142.1799201743,-137.9847181352,-3.9975133194,0.1976887197,-4.0519717152,0.1432303239,-4.1955448011,-0.0003427620
3.2500000000,-4.1690716360,-164.5718923371,-160.4028207011,-3.4191670625,0.7499045735,-4.0346399192,0.1344317169,-4.1728490122,-0.0037773761
3.3000000000,-3.7374416225,-169.3347714596,-165.5973298371,-2.5454143386,1.1920272838,-3.6277921760,0.1096494464,-3.7441734974,-0.0067318750
3.3500000000,-2.9898569385,-154.2147904501,-151.2249335116,-1.5197348794,1.4701220591,-2.9178110324,0.0720459061,-2.9986992328,-0.0088422943
3.4000000000,-2.0449689255,-119.1397606753,-117.0947917499,-0.4934714277,1.5514974978,-2.0185967860,0.0263721395,-2.0548159016,-0.0098469761
3.4500000000,-1.0343549030,-66.4538040902,-65.4194491872,0.3946117692,1.4289666722,-1.0559715627,-0.0216166597,-1.0439751174,-0.0096202143
3.5000000000,-0.0855421874,-0.8825003866,-0.7969581992,1.0363142438,1.1218564313,-0.1514188671,-0.0658766796,-0.0937315081,-0.0081893207
3.5500000000,0.6936466945,70.7963908638,70.1027441693,1.3672440618,0.6735973672,0.5928130232,-0.1008336713,0.6879139531,-0.0057327414
